category_code,brand01
furniture.kitchen.table,tefal
furniture.kitchen.table,berghoff
furniture.kitchen.table,tefal
appliances.kitchen.toster,bosch
furniture.living_room.shelving,inhouse
computers.peripherals.mouse,delux
furniture.living_room.shelving,muljhtidom
furniture.kitchen.table,philips
appliances.kitchen.kettle,polaris
appliances.environment.fan,polaris
appliances.environment.water_heater,thermex
electronics.smartphone,samsung
computers.network.router,altel
stationery.cartrige,hp
stationery.paper,svetocopy
appliances.environment.vacuum,samsung
appliances.environment.vacuum,samsung
appliances.environment.vacuum,samsung
computers.peripherals.mouse,hyperx
computers.peripherals.keyboard,genius
computers.peripherals.mouse,razer
appliances.iron,scarlett
,moulinex
,redmond
,
appliances.kitchen.kettle,philips
appliances.personal.massager,philips
appliances.kitchen.kettle,ava
,xiaomi
electronics.tablet,samsung
,vitek
,ava
appliances.kitchen.kettle,tefal
computers.peripherals.keyboard,bloody
electronics.audio.headphone,bloody
computers.peripherals.mouse,
computers.peripherals.monitor,samsung
,
appliances.personal.hair_cutter,polaris
computers.network.router,altel
computers.notebook,apple
electronics.audio.headphone,plantronics
,akvafor
electronics.audio.headphone,huawei
appliances.kitchen.refrigerators,birjusa
appliances.kitchen.refrigerators,birjusa
,ava
electronics.smartphone,samsung
,peterhof
,peterhof
electronics.smartphone,samsung
,ava
,ava
computers.network.router,d-link
computers.network.router,tp-link
electronics.smartphone,apple
,akvafor
appliances.environment.air_heater,ava
,vitek
computers.notebook,china
appliances.iron,vitek
,fissman
,muljhtidom
,delonghi
,none
,apple
appliances.kitchen.blender,braun
appliances.environment.vacuum,karcher
computers.notebook,hp
computers.peripherals.printer,canon
stationery.cartrige,canon
,
,moulinex
,cremesso
,maxwell
,muljhtidom
,cremesso
,samsung
electronics.smartphone,vivo
computers.peripherals.printer,hp
,lavazza
electronics.smartphone,samsung
electronics.audio.headphone,sony
electronics.audio.headphone,huawei
electronics.audio.headphone,samsung
computers.notebook,trust
,redmond
,xiaomi
appliances.environment.water_heater,thermex
appliances.personal.scales,ava
computers.network.router,altel
electronics.smartphone,samsung
computers.network.router,tp-link
computers.network.router,tp-link
computers.peripherals.mouse,genius
electronics.smartphone,xiaomi
electronics.video.tv,lg
,akvafor
computers.gaming,sony
electronics.smartphone,huawei
,toro
computers.components.cooler,moshi
,sbs
computers.components.memory,zeppelin
,xiaomi
accessories.bag,samsung
computers.peripherals.mouse,logitech
,gopro
,jandeks
,jandeks
,jandeks
electronics.smartphone,huawei
appliances.kitchen.kettle,philips
electronics.clocks,apple
computers.notebook,asus
,
computers.peripherals.mouse,bloody
appliances.kitchen.kettle,
,polaris
appliances.iron,tefal
appliances.ironing_board,perilla
,ava
,ava
,vitek
,deluxe
,akvafor
computers.components.hdd,portcase
stationery.paper,deluxe
appliances.environment.vacuum,samsung
electronics.audio.headphone,jbl
construction.tools.screw,huawei
electronics.smartphone,huawei
electronics.smartphone,oppo
stationery.cartrige,epson
electronics.smartphone,apple
appliances.kitchen.microwave,ava
electronics.smartphone,samsung
computers.peripherals.mouse,logitech
,sony
electronics.audio.headphone,samsung
computers.peripherals.mouse,genius
electronics.audio.headphone,samsung
electronics.video.tv,lg
electronics.smartphone,samsung
appliances.environment.vacuum,philips
appliances.kitchen.coffee_machine,polaris
electronics.audio.headphone,apple
electronics.smartphone,huawei
electronics.smartphone,samsung
appliances.kitchen.washer,hotpoint-ariston
electronics.telephone,pgytech
appliances.environment.vacuum,samsung
appliances.personal.hair_cutter,polaris
appliances.kitchen.mixer,polaris
computers.peripherals.monitor,samsung
,
computers.peripherals.monitor,samsung
computers.components.hdd,
electronics.smartphone,huawei
,xiaomi
electronics.smartphone,samsung
appliances.iron,scarlett
,rondell
computers.peripherals.camera,logitech
,glasslock
furniture.living_room.shelving,berghoff
appliances.kitchen.meat_grinder,
electronics.smartphone,samsung
